onetsoc_code,task_id,pi,SE_pi
51-9162.00,24013,0.011582019788292921,0.004402601015555945
39-6012.00,24010,0.017303957860778343,0.0
39-6012.00,24009,0.03596198785797699,0.0
39-5091.00,24008,0.13210756659208744,0.0
33-3021.02,24007,0.03133995186439356,0.007073829018780335
27-1012.00,24006,0.03920521680621676,0.0
25-1061.00,24005,0.0017964317071372724,0.0
17-2111.02,24004,0.1884558748097222,0.0
17-2041.00,24003,0.024709364954848146,0.0
15-2021.00,24002,0.08137165654189098,0.0
51-6042.00,24000,0.08608543458688381,0.02049586157965542
51-4034.00,23999,0.03383889948607495,0.004204565942968151
51-4034.00,23998,0.05032549248491086,0.009933229683946302
33-3021.06,23997,0.04430166712602332,0.0
29-1024.00,23996,0.17869186083594946,0.02028978212225253
27-1025.00,23995,0.047817628581747415,0.0
23-2011.00,23994,0.21926766720911225,0.03803852706585426
23-1011.00,23992,0.047931339525925085,0.011986170506255032
21-1012.00,23991,0.016594367680821114,0.006115537666753562
21-1012.00,23990,0.11880362979818215,0.022606266018989657
19-5011.00,23989,0.0674722613569812,0.0
19-3011.00,23988,0.10587647184127659,0.0
17-2081.00,23987,0.002107859723947466,0.0
15-2031.00,23986,0.03968155814921246,0.0
13-1141.00,23985,0.058032870663373294,0.0
11-9171.00,23984,0.07243868511399024,0.02147327787772124
51-9023.00,23983,0.04378884791021072,0.005889653207582414
51-6061.00,23982,0.052158451174721905,0.013844020747275046
49-9062.00,23981,0.017652660250577466,0.007544442261637143
49-9062.00,23980,0.10197919591603921,0.01524903600675556
47-5071.00,23979,0.11240211525517048,0.03154735701204001
47-5071.00,23978,0.14779173834773063,0.09547171940662108
47-3013.00,23977,0.001162612973471447,0.0005551642745355597
33-3012.00,23976,0.02451076899818433,0.005663041510333853
29-2035.00,23975,0.02827340316269208,0.0
29-2035.00,23974,0.08051666778804026,0.0
29-1023.00,23973,0.1160969844016636,0.009610168706955817
27-1024.00,23972,0.008768825427068392,0.0
27-1024.00,23971,0.03213263968363615,0.0
27-1024.00,23970,0.048434431536682344,0.0
19-4092.00,23969,0.029131537122894225,0.013489576438294047
19-4092.00,23967,0.015715073370315455,0.006498097879289394
19-4092.00,23966,0.011110727696688472,0.005447347444740959
19-4092.00,23965,0.02518267818276917,0.016106300670519227
19-3041.00,23964,0.009533263949780093,0.0
19-3041.00,23963,0.018378737782196335,0.0
19-1041.00,23962,0.04946042268502255,0.0
19-1041.00,23961,0.049518378634559886,0.0
19-1031.03,23960,0.020268182712046213,0.008652355848056754
19-1031.03,23959,0.026212851786896335,0.01734808230354866
19-1023.00,23958,0.024774166373884077,0.0074854355149092874
19-1023.00,23957,0.123142697418649,0.03546797200266369
17-2071.00,23956,0.07524523127495372,0.03661162795548458
49-3031.00,23955,0.05686196852666998,0.023651555782183354
43-3051.00,23954,0.0171510137616466,0.013950214984507865
29-1127.00,23952,0.004618579036325921,0.002165557253052324
27-3031.00,23951,0.1793122704268838,0.0
19-3094.00,23950,0.03636471418299189,0.0
19-3094.00,23949,0.08696794245852096,0.0
17-2199.05,23948,0.02318879696789793,0.009354868852772116
17-2199.05,23947,0.08247116760295434,0.039424952945653575
17-2199.05,23946,0.10436091476838386,0.03496140835471196
11-9179.01,23945,0.01850335661301462,0.0
53-2031.00,23942,0.06252113226359006,0.006132227753694365
53-2022.00,23941,0.024176404795691775,0.008061613294038534
53-2022.00,23940,0.08860775070949482,0.01325567427175497
53-2022.00,23939,0.07306208457643992,0.009675362161842192
51-4111.00,23938,0.07213997520881216,0.01470769075567035
51-4081.00,23937,0.003811343810371556,0.0011976322894865507
49-9097.00,23936,0.06331133575437457,0.015772002007887826
49-9041.00,23935,0.01190816609210566,0.003013571879092949
49-3052.00,23934,0.07912816207366397,0.014063732227032149
47-2043.00,23933,0.13185193224521333,0.019487252519512447
