onetsoc_code,task_id,pi,SE_pi
11-2022.00,1,0.2185762974072823,0.0
11-2022.00,2,0.08364299109300012,0.0
11-2022.00,3,0.1058401726783981,0.0
11-2022.00,4,0.004734042579592692,0.0
11-2022.00,5,0.03282442286501724,0.0
11-2022.00,6,0.02383531485309253,0.0
11-2022.00,7,0.016760746013672393,0.0
11-2022.00,8,0.015007679137474427,0.0
11-2022.00,9,0.004372360897119963,0.0
11-2022.00,10,0.0041619115771175455,0.0
11-2022.00,11,0.03667017057409001,0.0
11-2022.00,12,0.010851168294628084,0.0
11-2022.00,13,0.1629061574205101,0.0
11-2022.00,14,0.20989643324528082,0.0
11-2022.00,15,0.059218574776587304,0.0
11-2022.00,16,0.008108029134743384,0.0
11-2022.00,17,0.002593527452392955,0.0
11-3012.00,19,0.29945407860159573,0.05337901800911844
11-3012.00,20,0.14247133198774226,0.041576817231232514
11-3012.00,21,0.14123795305969822,0.02884407744565442
11-3012.00,22,0.09332403535244643,0.019312465430593864
11-3012.00,23,0.12179596128955228,0.0278467091792343
11-3012.00,24,0.18972888799061977,0.04227269520542496
11-3012.00,30,0.011987751718345294,0.00475069780938273
11-3051.00,32,0.18311012508292418,0.01999845573919404
11-3051.00,33,0.04726921565015448,0.005907349768727262
11-3051.00,34,0.12237364696112098,0.01769654585508508
11-3051.00,35,0.10234283851953258,0.01216813693129544
11-3051.00,36,0.05539731045572495,0.016150812006968565
11-3051.00,37,0.06003261581659962,0.017097041318029582
11-3051.00,38,0.09724561689145123,0.022212160575166066
11-3051.00,39,0.11361833977502096,0.015607313543880695
11-3051.00,40,0.0771349749825972,0.014721390254955684
11-3051.00,41,0.0340335781564503,0.007629600142724646
11-3051.00,43,0.035614914614145635,0.01372324795412657
11-3051.00,44,0.05596683188736848,0.014927365348098362
11-3051.00,45,0.01585999120690937,0.011208765425823684
11-9111.00,46,0.15973806334270038,0.0
11-9111.00,47,0.04638877914062496,0.0
11-9111.00,48,0.029259922678899427,0.0
11-9111.00,49,0.11788145553332026,0.0
11-9111.00,50,0.03160624330073404,0.0
11-9111.00,51,0.026155928689806537,0.0
11-9111.00,52,0.08310993893381535,0.0
11-9111.00,53,0.04545909657785333,0.0
11-9111.00,54,0.0587029394746851,0.0
11-9111.00,55,0.08049468231737801,0.0
11-9111.00,56,0.04997399282392463,0.0
11-9111.00,57,0.035551754869049774,0.0
11-9111.00,58,0.07990797982702384,0.0
11-9111.00,59,0.032995322419350985,0.0
11-9111.00,60,0.028021057001490123,0.0
11-9111.00,61,0.020515665394606263,0.0
11-9111.00,62,0.0487737394355407,0.0
11-9111.00,63,0.025463438239196275,0.0
13-1022.00,66,0.09790132456566589,0.02310893047215628
13-1022.00,68,0.05105216283873869,0.00969988575793307
13-1022.00,72,0.025805621347186,0.010212111872270935
13-1022.00,76,0.04398368052673643,0.027711917938063955
13-1022.00,77,0.04735339846154461,0.017847445381682443
13-1022.00,78,0.009577999155594437,0.004720826081461959
13-1022.00,79,0.016379032143350184,0.008347357316689449
13-1051.00,80,0.3568178870718636,0.0
13-1051.00,81,0.046383826309463416,0.0
13-1051.00,82,0.07533432094918467,0.0
13-1051.00,83,0.14196797781030884,0.0
13-1051.00,84,0.039989331897787764,0.0
13-1051.00,85,0.09339843651339874,0.0
13-1051.00,86,0.0551659164104167,0.0
13-1051.00,87,0.025639500845745358,0.0
13-1051.00,88,0.02319847945106013,0.0
13-1051.00,89,0.016546494881070514,0.0
13-1051.00,90,0.028728883227809254,0.0
13-1051.00,91,0.03530589866544017,0.0
13-1051.00,92,0.01494494899328404,0.0
13-1151.00,93,0.09122154698214777,0.0
13-1151.00,94,0.13838451361252002,0.0
13-1151.00,95,0.0308076766746966,0.0
13-1151.00,97,0.08830594443144016,0.0
13-1151.00,98,0.06668321826904322,0.0
13-1151.00,99,0.041915423163494385,0.0
13-1151.00,100,0.06017624320887062,0.0
13-1151.00,101,0.037145141162673166,0.0
13-1151.00,102,0.03590764736213368,0.0
13-1151.00,103,0.03591549679602783,0.0
13-1151.00,105,0.025562652457192893,0.0
13-1151.00,106,0.011842211000292091,0.0
13-1151.00,108,0.027515520220696366,0.0
13-1151.00,111,0.049206346376628206,0.0
17-1011.00,130,0.09839459147160882,0.0
17-1011.00,131,0.04125063082788745,0.0
17-1011.00,134,0.0773251797533353,0.0
17-1011.00,136,0.06809352709828015,0.0
17-1011.00,138,0.012928162785537212,0.0
17-1011.00,139,0.0067115494353690505,0.0
17-1011.00,140,0.0006630587900645699,0.0
17-2051.00,147,0.10892988647874143,0.0
17-2051.00,148,0.04325475256195677,0.0
