occ_code,task_id,pi,normalized_time
11-1011.00,8829,0.0491917411032086,0.048342541436464
11-1011.00,8831,0.0188693474742432,0.0207182320441988
11-1011.00,8842,0.16981030653849,0.0027624309392265
11-1011.00,8846,0.0983278015318662,0.0069060773480662
11-1011.00,8847,0.1699254824465511,0.0138121546961325
11-1011.00,8850,0.0418538471743899,0.0138121546961325
11-1011.00,8851,0.1017095982890574,0.0069060773480662
11-1011.00,8852,0.0846776107215178,0.0276243093922651
11-1011.03,15367,0.0037298177759573,0.0181818181818181
11-1011.03,15368,0.0481985748151916,0.0454545454545454
11-1011.03,15369,0.1679471746713737,0.0454545454545454
11-1011.03,15370,0.01221347360628,0.0545454545454545
11-1011.03,15371,0.0021269822258971,0.0363636363636363
11-1011.03,15372,0.1251352780214364,0.0909090909090909
11-1011.03,15373,0.1257676612133936,0.0545454545454545
11-1011.03,15374,0.0898891762171085,0.0545454545454545
11-1011.03,15375,0.014921438342514,0.0363636363636363
11-1011.03,15376,0.0207706530089729,0.0545454545454545
11-1011.03,15377,0.0874410677336187,0.0545454545454545
11-1011.03,15378,0.0047737766502622,0.0727272727272727
11-1011.03,15379,0.0165089948598488,0.0545454545454545
11-1011.03,15380,0.0146223594040584,0.0363636363636363
11-1011.03,15381,0.0024881525526625,0.0363636363636363
11-1011.03,15382,0.0528429412549464,0.0727272727272727
11-1011.03,15383,0.1752497289151454,0.0727272727272727
11-1011.03,15384,0.0353727487313316,0.109090909090909
11-1021.00,944,0.1769637424911034,0.0392156862745098
11-1021.00,948,0.1925592407788199,0.0098039215686274
11-1021.00,949,0.1854154367889216,0.0196078431372549
11-1021.00,20699,0.0217303929151114,0.0980392156862745
11-1021.00,20701,0.0770890895203512,0.0588235294117647
11-2011.00,3223,0.0553191062982088,0.0327868852459016
11-2011.00,3228,0.113104918342686,0.0273224043715847
11-2011.00,3235,0.127232924892219,0.0218579234972677
11-2011.00,3243,0.0697262154712694,0.0218579234972677
11-2011.00,3244,0.1794836788695195,0.0109289617486338
11-2011.00,3245,0.1042277223159465,0.0109289617486338
11-2021.00,959,0.129534879808136,0.01
11-2021.00,962,0.1736540334943653,0.02
11-2021.00,19504,0.2685766830221056,0.02
11-2022.00,1,0.0433844244788742,0.0714285714285714
11-2022.00,2,0.0091748584909133,0.0535714285714285
11-2022.00,3,0.0111693006901368,0.1785714285714285
11-2022.00,4,0.0197421014563565,0.0357142857142857
11-2022.00,5,0.0224833759500635,0.0892857142857142
11-2022.00,6,0.0802900100092489,0.0535714285714285
11-2022.00,7,0.0399801185745139,0.0535714285714285
11-2022.00,8,0.0792800443446104,0.0357142857142857
11-2022.00,9,0.0197046779137803,0.0357142857142857
11-2022.00,10,0.0002619923037871,0.0357142857142857
11-2022.00,11,0.0032640292011525,0.0714285714285714
11-2022.00,12,0.1174641913481307,0.0178571428571428
11-2022.00,13,0.0759616606188864,0.0714285714285714
11-2022.00,14,0.0429540537392478,0.1428571428571428
11-2022.00,15,0.1228338568973064,0.0178571428571428
11-2022.00,16,0.1561940093363156,0.0178571428571428
11-2022.00,17,0.155857294646675,0.0178571428571428
11-2033.00,21247,0.0435121051615607,0.0884955752212389
11-2033.00,21256,0.0851464686888804,0.0265486725663716
11-2033.00,21257,0.0870253690412382,0.0265486725663716
11-2033.00,21260,0.2664157086926225,0.0088495575221238
11-2033.00,21261,0.1241968850183827,0.0530973451327433
11-3012.00,26,0.4979884193377867,0.0267857142857142
